,county,Population,cases,Minority_pct,Hotspot
126,Currituck,29385.0,1580,0.1502,False
127,Dare,37817.0,2191,0.1215,False
128,Davidson,171752.0,17032,0.2191,False
129,Davie,43127.0,4180,0.1726,False
130,Duplin,48249.0,6387,0.4646,False
131,Durham,331347.0,25979,0.5714,False
132,Edgecombe,48604.0,5704,0.6394,False
133,Forsyth,387703.0,37030,0.4384,False
134,Franklin,70655.0,7047,0.366,False
135,Gaston,233387.0,27198,0.3121,False
136,Gates,10324.0,749,0.3546,False
137,Graham,7935.0,666,0.1391,False
138,Granville,60720.0,5991,0.4331,False
139,Greene,19978.0,2421,0.5114,False
140,Guilford,545484.0,48742,0.5133,False
141,Halifax,47859.0,5686,0.603,False
142,Harnett,134986.0,12069,0.3871,False
143,Haywood,62831.0,4498,0.091,False
144,Henderson,117429.0,10314,0.1903,False
145,Hertford,20374.0,2117,0.6463,False
146,Hoke,53783.0,4908,0.5962,False
147,Hyde,4595.0,671,0.3559,False
148,Iredell,192986.0,19284,0.2535,False
149,Jackson,41919.0,3660,0.2246,False
150,Johnston,224833.0,22291,0.3406,False
151,Jones,9076.0,899,0.3603,False
152,Lee,64360.0,6154,0.393,False
153,Lenoir,54323.0,6270,0.5081,False
154,Lincoln,88742.0,10289,0.1624,False
155,Macon,37041.0,3166,0.1328,False
156,Madison,21146.0,1601,0.0859,False
157,Martin,21503.0,2329,0.4724,False
158,McDowell,44151.0,5289,0.1396,False
159,Mecklenburg,1128426.0,114737,0.5333,False
160,Mitchell,14783.0,1480,0.0832,False
161,Montgomery,25485.0,3384,0.3431,False
162,Moore,102966.0,9067,0.2278,False
163,Nash,96101.0,11709,0.5011,False
164,New Hanover,230423.0,19559,0.2431,False
165,Northampton,16953.0,1895,0.6042,False
166,Onslow,207928.0,17902,0.33,False
167,Orange,148331.0,8601,0.3336,False
168,Pamlico,12215.0,1119,0.2493,False
169,Pasquotank,40966.0,3451,0.4572,False
170,Pender,62250.0,5554,0.2475,False
171,Perquimans,13049.0,1037,0.2763,False
172,Person,39048.0,3513,0.3464,False
173,Pitt,173536.0,20514,0.4785,False
174,Polk,19461.0,1500,0.1239,False
175,Randolph,143325.0,15352,0.2269,False
176,Richmond,43006.0,4828,0.4419,False
177,Robeson,115899.0,16886,0.7422,False
178,Rockingham,90457.0,8100,0.2817,False
179,Rowan,148565.0,17258,0.3008,False
180,Rutherford,63870.0,7444,0.1806,False
181,Sampson,58371.0,8164,0.4706,False
182,Scotland,33662.0,3910,0.5786,False
183,Stanly,62143.0,7933,0.2137,False
184,Stokes,44422.0,4234,0.1023,False
185,Surry,70573.0,8411,0.1689,False
186,Swain,14046.0,1210,0.3881,False
187,Transylvania,32825.0,2387,0.1221,False
188,Tyrrell,3315.0,326,0.4136,False
189,Union,244960.0,24944,0.3051,False
190,Vance,41665.0,4995,0.6082,False
191,Wake,1154170.0,90426,0.4122,False
192,Warren,18621.0,1817,0.6109,False
193,Washington,10708.0,1140,0.5457,False
194,Watauga,54804.0,5024,0.1546,False
195,Wayne,115895.0,11496,0.4677,False
196,Wilkes,65151.0,6954,0.1344,False
197,Wilson,79078.0,9929,0.526,False
198,Yadkin,36925.0,4136,0.1712,False
199,Yancey,18320.0,1640,0.0868,False
200,Alamance,175029.0,19042,0.3825,False
201,Alexander,36172.0,4456,0.1416,False
202,Alleghany,11057.0,1095,0.1234,False
203,Anson,22028.0,2638,0.5152,False
204,Ashe,26506.0,2252,0.0806,False
205,Avery,17347.0,2164,0.1157,False
206,Beaufort,44150.0,4791,0.3322,False
207,Bertie,17302.0,1795,0.6465,False
208,Bladen,29171.0,3516,0.4561,False
209,Brunswick,144821.0,9342,0.1784,False
210,Buncombe,271638.0,18089,0.1877,False
211,Burke,88398.0,10152,0.2044,False
212,Cabarrus,232873.0,22396,0.3899,False
213,Caldwell,81319.0,9521,0.1462,False
214,Camden,10537.0,695,0.1973,False
215,Carteret,69039.0,5261,0.1393,False
216,Caswell,22400.0,2200,0.374,False
217,Catawba,162841.0,19823,0.2594,False
218,Chatham,77095.0,4756,0.2865,False
219,Cherokee,28738.0,2638,0.1089,False
220,Chowan,13646.0,1488,0.3908,False
221,Clay,11238.0,906,0.0847,False
222,Cleveland,99332.0,11717,0.2858,False
223,Columbus,49795.0,6459,0.3999,False
224,Craven,102568.0,9470,0.3377,False
225,Cumberland,341793.0,30343,0.576,False
226,Currituck,29385.0,1580,0.1502,False
227,Dare,37817.0,2191,0.1215,False
228,Davidson,171752.0,17032,0.2191,False
229,Davie,43127.0,4180,0.1726,False
230,Duplin,48249.0,6387,0.4646,False
231,Durham,331347.0,25991,0.5714,False
232,Edgecombe,48604.0,5704,0.6394,False
233,Forsyth,387703.0,37030,0.4384,False
234,Franklin,70655.0,7047,0.366,False
235,Gaston,233387.0,27198,0.3121,False
236,Gates,10324.0,749,0.3546,False
237,Graham,7935.0,666,0.1391,False
238,Granville,60720.0,5991,0.4331,False
239,Greene,19978.0,2421,0.5114,False
240,Guilford,545484.0,48742,0.5133,False
241,Halifax,47859.0,5686,0.603,False
242,Harnett,134986.0,12069,0.3871,False
243,Haywood,62831.0,4498,0.091,False
244,Henderson,117429.0,10314,0.1903,False
245,Hertford,20374.0,2117,0.6463,False
246,Hoke,53783.0,4908,0.5962,False
247,Hyde,4595.0,671,0.3559,False
248,Iredell,192986.0,19284,0.2535,False
249,Jackson,41919.0,3660,0.2246,False
250,Johnston,224833.0,22291,0.3406,False
251,Jones,9076.0,899,0.3603,False
252,Lee,64360.0,6154,0.393,False
253,Lenoir,54323.0,6270,0.5081,False
254,Lincoln,88742.0,10289,0.1624,False
255,Macon,37041.0,3166,0.1328,False
256,Madison,21146.0,1601,0.0859,False
257,Martin,21503.0,2329,0.4724,False
258,McDowell,44151.0,5289,0.1396,False
259,Mecklenburg,1128426.0,114737,0.5333,False
260,Mitchell,14783.0,1480,0.0832,False
261,Montgomery,25485.0,3384,0.3431,False
262,Moore,102966.0,9067,0.2278,False
263,Nash,96101.0,11709,0.5011,False
264,New Hanover,230423.0,19559,0.2431,False
265,Northampton,16953.0,1895,0.6042,False
266,Onslow,207928.0,17902,0.33,False
267,Orange,148331.0,8601,0.3336,False
268,Pamlico,12215.0,1119,0.2493,False
269,Pasquotank,40966.0,3451,0.4572,False
270,Pender,62250.0,5554,0.2475,False
271,Perquimans,13049.0,1037,0.2763,False
272,Person,39048.0,3513,0.3464,False
273,Pitt,173536.0,20514,0.4785,False
274,Polk,19461.0,1500,0.1239,False
275,Randolph,143325.0,15352,0.2269,False
276,Richmond,43006.0,4828,0.4419,False
277,Robeson,115899.0,16886,0.7422,False
278,Rockingham,90457.0,8100,0.2817,False
279,Rowan,148565.0,17258,0.3008,False
280,Rutherford,63870.0,7444,0.1806,False
281,Sampson,58371.0,8164,0.4706,False
282,Scotland,33662.0,3910,0.5786,False
283,Stanly,62143.0,7933,0.2137,False
284,Stokes,44422.0,4234,0.1023,False
285,Surry,70573.0,8411,0.1689,False
286,Swain,14046.0,1210,0.3881,False
287,Transylvania,32825.0,2387,0.1221,False
288,Tyrrell,3315.0,326,0.4136,False
289,Union,244960.0,24944,0.3051,False
290,Vance,41665.0,4995,0.6082,False
291,Wake,1154170.0,90468,0.4122,False
292,Warren,18621.0,1817,0.6109,False
293,Washington,10708.0,1140,0.5457,False
294,Watauga,54804.0,5024,0.1546,False
295,Wayne,115895.0,11496,0.4677,False
296,Wilkes,65151.0,6954,0.1344,False
297,Wilson,79078.0,9929,0.526,False
298,Yadkin,36925.0,4136,0.1712,False
299,Yancey,18320.0,1640,0.0868,False
300,Alamance,175029.0,19042,0.3825,False
301,Alexander,36172.0,4456,0.1416,False
302,Alleghany,11057.0,1095,0.1234,False
303,Anson,22028.0,2638,0.5152,False
304,Ashe,26506.0,2252,0.0806,False
305,Avery,17347.0,2164,0.1157,False
306,Beaufort,44150.0,4791,0.3322,False
307,Bertie,17302.0,1795,0.6465,False
308,Bladen,29171.0,3516,0.4561,False
309,Brunswick,144821.0,9342,0.1784,False
310,Buncombe,271638.0,18089,0.1877,False
311,Burke,88398.0,10152,0.2044,False
312,Cabarrus,232873.0,22396,0.3899,False
313,Caldwell,81319.0,9521,0.1462,False
314,Camden,10537.0,695,0.1973,False
315,Carteret,69039.0,5261,0.1393,False
316,Caswell,22400.0,2200,0.374,False
317,Catawba,162841.0,19823,0.2594,False
318,Chatham,77095.0,4756,0.2865,False
319,Cherokee,28738.0,2638,0.1089,False
320,Chowan,13646.0,1488,0.3908,False
321,Clay,11238.0,906,0.0847,False
322,Cleveland,99332.0,11717,0.2858,False
323,Columbus,49795.0,6459,0.3999,False
324,Craven,102568.0,9470,0.3377,False
325,Cumberland,341793.0,30343,0.576,False
326,Currituck,29385.0,1580,0.1502,False
327,Dare,37817.0,2191,0.1215,False
328,Davidson,171752.0,17032,0.2191,False
329,Davie,43127.0,4180,0.1726,False
330,Duplin,48249.0,6387,0.4646,False
331,Durham,331347.0,25991,0.5714,False
332,Edgecombe,48604.0,5704,0.6394,False
333,Forsyth,387703.0,37030,0.4384,False
334,Franklin,70655.0,7047,0.366,False
335,Gaston,233387.0,27198,0.3121,False
336,Gates,10324.0,749,0.3546,False
337,Graham,7935.0,666,0.1391,False
338,Granville,60720.0,5991,0.4331,False
339,Greene,19978.0,2421,0.5114,False
340,Guilford,545484.0,48742,0.5133,False
341,Halifax,47859.0,5686,0.603,False
342,Harnett,134986.0,12069,0.3871,False
343,Haywood,62831.0,4498,0.091,False
344,Henderson,117429.0,10314,0.1903,False
345,Hertford,20374.0,2117,0.6463,False
346,Hoke,53783.0,4908,0.5962,False
347,Hyde,4595.0,671,0.3559,False
348,Iredell,192986.0,19284,0.2535,False
349,Jackson,41919.0,3660,0.2246,False
350,Johnston,224833.0,22291,0.3406,False
351,Jones,9076.0,899,0.3603,False
352,Lee,64360.0,6154,0.393,False
353,Lenoir,54323.0,6270,0.5081,False
354,Lincoln,88742.0,10289,0.1624,False
355,Macon,37041.0,3166,0.1328,False
356,Madison,21146.0,1601,0.0859,False
357,Martin,21503.0,2329,0.4724,False
358,McDowell,44151.0,5289,0.1396,False
359,Mecklenburg,1128426.0,114737,0.5333,False
360,Mitchell,14783.0,1480,0.0832,False
361,Montgomery,25485.0,3384,0.3431,False
362,Moore,102966.0,9067,0.2278,False
363,Nash,96101.0,11709,0.5011,False
364,New Hanover,230423.0,19559,0.2431,False
365,Northampton,16953.0,1895,0.6042,False
366,Onslow,207928.0,17902,0.33,False
367,Orange,148331.0,8601,0.3336,False
368,Pamlico,12215.0,1119,0.2493,False
369,Pasquotank,40966.0,3451,0.4572,False
370,Pender,62250.0,5554,0.2475,False
371,Perquimans,13049.0,1037,0.2763,False
372,Person,39048.0,3513,0.3464,False
373,Pitt,173536.0,20514,0.4785,False
374,Polk,19461.0,1500,0.1239,False
375,Randolph,143325.0,15352,0.2269,False
376,Richmond,43006.0,4828,0.4419,False
377,Robeson,115899.0,16886,0.7422,False
378,Rockingham,90457.0,8100,0.2817,False
379,Rowan,148565.0,17258,0.3008,False
380,Rutherford,63870.0,7444,0.1806,False
381,Sampson,58371.0,8164,0.4706,False
382,Scotland,33662.0,3910,0.5786,False
383,Stanly,62143.0,7933,0.2137,False
384,Stokes,44422.0,4234,0.1023,False
385,Surry,70573.0,8411,0.1689,False
386,Swain,14046.0,1210,0.3881,False
387,Transylvania,32825.0,2387,0.1221,False
388,Tyrrell,3315.0,326,0.4136,False
389,Union,244960.0,24944,0.3051,False
390,Vance,41665.0,4995,0.6082,False
391,Wake,1154170.0,90468,0.4122,False
392,Warren,18621.0,1817,0.6109,False
393,Washington,10708.0,1140,0.5457,False
394,Watauga,54804.0,5024,0.1546,False
395,Wayne,115895.0,11496,0.4677,False
396,Wilkes,65151.0,6954,0.1344,False
397,Wilson,79078.0,9929,0.526,False
398,Yadkin,36925.0,4136,0.1712,False
399,Yancey,18320.0,1640,0.0868,False
400,Alamance,175029.0,19042,0.3825,False
401,Alexander,36172.0,4456,0.1416,False
402,Alleghany,11057.0,1095,0.1234,False
403,Anson,22028.0,2638,0.5152,False
404,Ashe,26506.0,2252,0.0806,False
405,Avery,17347.0,2164,0.1157,False
406,Beaufort,44150.0,4791,0.3322,False
407,Bertie,17302.0,1795,0.6465,False
408,Bladen,29171.0,3516,0.4561,False
409,Brunswick,144821.0,9342,0.1784,False
410,Buncombe,271638.0,18089,0.1877,False
411,Burke,88398.0,10152,0.2044,False
412,Cabarrus,232873.0,22396,0.3899,False
413,Caldwell,81319.0,9521,0.1462,False
414,Camden,10537.0,695,0.1973,False
415,Carteret,69039.0,5261,0.1393,False
416,Caswell,22400.0,2200,0.374,False
417,Catawba,162841.0,19823,0.2594,False
418,Chatham,77095.0,4756,0.2865,False
419,Cherokee,28738.0,2638,0.1089,False
420,Chowan,13646.0,1488,0.3908,False
