,date,county,state,fips,cases,deaths,Population,casesprop,deathsprop,dailycase,weeklycase,dailydeath,weeklydeath,weeklyper100k,tranlevel,Minority_pct,region
33,2021-07-01,Forsyth,North Carolina,37067.0,37028,422.0,387703.0,0.0955,0.0011,0.0,0.0,0.0,0.0,0.0,Low,0.4384,Northern
34,2021-07-01,Franklin,North Carolina,37069.0,7047,54.0,70655.0,0.0997,0.0008,0.0,0.0,0.0,0.0,0.0,Low,0.366,Eastern
35,2021-07-01,Gaston,North Carolina,37071.0,27187,441.0,233387.0,0.1165,0.0019,0.0,0.0,0.0,0.0,0.0,Low,0.31210000000000004,Central
36,2021-07-01,Gates,North Carolina,37073.0,750,13.0,10324.0,0.0726,0.0013,0.0,0.0,0.0,0.0,0.0,Low,0.3546,Coastal
37,2021-07-01,Graham,North Carolina,37075.0,666,13.0,7935.0,0.0839,0.0016,0.0,0.0,0.0,0.0,0.0,Low,0.1391,Western
38,2021-07-01,Granville,North Carolina,37077.0,5991,83.0,60720.0,0.0987,0.0014,0.0,0.0,0.0,0.0,0.0,Low,0.43310000000000004,Eastern
39,2021-07-01,Greene,North Carolina,37079.0,2418,47.0,19978.0,0.121,0.0024,0.0,0.0,0.0,0.0,0.0,Low,0.5114000000000001,Coastal
40,2021-07-01,Guilford,North Carolina,37081.0,48722,720.0,545484.0,0.0893,0.0013,0.0,0.0,0.0,0.0,0.0,Low,0.5133,Northern
41,2021-07-01,Halifax,North Carolina,37083.0,5687,114.0,47859.0,0.1188,0.0024,0.0,0.0,0.0,0.0,0.0,Low,0.603,Coastal
42,2021-07-01,Harnett,North Carolina,37085.0,12060,181.0,134986.0,0.0893,0.0013,0.0,0.0,0.0,0.0,0.0,Low,0.3871,Eastern
43,2021-07-01,Haywood,North Carolina,37087.0,4496,99.0,62831.0,0.0716,0.0016,0.0,0.0,0.0,0.0,0.0,Low,0.09099999999999997,Western
44,2021-07-01,Henderson,North Carolina,37089.0,10310,165.0,117429.0,0.0878,0.0014,0.0,0.0,0.0,0.0,0.0,Low,0.19030000000000002,Western
45,2021-07-01,Hertford,North Carolina,37091.0,2116,64.0,20374.0,0.1039,0.0031,0.0,0.0,0.0,0.0,0.0,Low,0.6463,Coastal
46,2021-07-01,Hoke,North Carolina,37093.0,4902,56.0,53783.0,0.0911,0.001,0.0,0.0,0.0,0.0,0.0,Low,0.5962000000000001,Eastern
47,2021-07-01,Hyde,North Carolina,37095.0,671,9.0,4595.0,0.146,0.002,0.0,0.0,0.0,0.0,0.0,Low,0.3559,Coastal
