,county,date_number,Population,region_Central,region_Eastern,region_Western,pop_dens,tranlevel
164,New Hanover,2,230423.0,False,False,False,1174.0,Low
111,Burke,2,88398.0,False,False,True,173.0,Low
196,Wilkes,2,65151.0,False,False,False,87.5,Low
103,Anson,2,22028.0,True,False,False,41.5,Low
178,Rockingham,2,90457.0,False,False,False,161.0,Low
115,Carteret,2,69039.0,False,False,False,133.3,Low
109,Brunswick,2,144821.0,False,False,False,160.8,Low
134,Franklin,2,70655.0,False,True,False,139.4,Low
145,Hertford,2,20374.0,False,False,False,61.0,Low
183,Stanly,2,62143.0,True,False,False,158.2,Low
104,Ashe,2,26506.0,False,False,False,62.3,Low
114,Camden,2,10537.0,False,False,False,43.1,Low
171,Perquimans,2,13049.0,False,False,False,52.6,Low
173,Pitt,2,173536.0,False,False,False,261.0,Low
158,McDowell,2,44151.0,False,False,True,101.3,Low
165,Northampton,2,16953.0,False,True,False,32.6,Low
195,Wayne,2,115895.0,False,False,False,211.8,Low
181,Sampson,2,58371.0,False,False,False,62.4,Low
150,Johnston,2,224833.0,False,False,False,272.7,Low
105,Avery,2,17347.0,False,False,True,72.0,Low
120,Chowan,2,13646.0,False,False,False,79.4,Low
184,Stokes,2,44422.0,False,False,False,99.1,Low
199,Yancey,2,18320.0,False,False,True,59.1,Low
112,Cabarrus,2,232873.0,True,False,False,625.1,Low
102,Alleghany,2,11057.0,False,False,False,46.4,Low
177,Robeson,2,115899.0,False,False,False,123.0,Low
107,Bertie,2,17302.0,False,False,False,25.7,Low
161,Montgomery,2,25485.0,False,True,False,52.4,Low
130,Duplin,2,48249.0,False,False,False,59.8,Low
193,Washington,2,10708.0,False,False,False,31.8,Low
159,Mecklenburg,2,1128426.0,True,False,False,2130.4,Low
166,Onslow,2,207928.0,False,False,False,268.4,Low
139,Greene,2,19978.0,False,False,False,76.7,Low
155,Macon,2,37041.0,False,False,True,71.8,Low
113,Caldwell,2,81319.0,False,False,False,170.9,Low
157,Martin,2,21503.0,False,False,False,48.3,Low
179,Rowan,2,148565.0,False,False,False,287.1,Low
156,Madison,2,21146.0,False,False,True,47.1,Low
125,Cumberland,2,341793.0,False,True,False,512.9,Low
176,Richmond,2,43006.0,False,True,False,90.7,Low
136,Gates,2,10324.0,False,False,False,30.8,Low
169,Pasquotank,2,40966.0,False,False,False,178.8,Low
170,Pender,2,62250.0,False,False,False,69.1,Low
124,Craven,2,102568.0,False,False,False,142.5,Low
175,Randolph,2,143325.0,False,False,False,184.3,Low
140,Guilford,2,545484.0,False,False,False,838.0,Low
189,Union,2,244960.0,True,False,False,376.6,Low
162,Moore,2,102966.0,False,True,False,142.9,Low
129,Davie,2,43127.0,False,False,False,162.0,Low
101,Alexander,2,36172.0,False,False,False,140.2,Low
191,Wake,2,1154170.0,False,True,False,1353.3,Low
180,Rutherford,2,63870.0,False,False,True,114.0,Low
153,Lenoir,2,54323.0,False,False,False,138.1,Low
118,Chatham,2,77095.0,False,True,False,111.9,Low
127,Dare,2,37817.0,False,False,False,96.3,Low
133,Forsyth,2,387703.0,False,False,False,938.1,Low
186,Swain,2,14046.0,False,False,True,26.8,Low
141,Halifax,2,47859.0,False,False,False,67.2,Low
154,Lincoln,2,88742.0,True,False,False,293.4,Low
137,Graham,2,7935.0,False,False,True,27.5,Low
188,Tyrrell,2,3315.0,False,False,False,8.3,Low
132,Edgecombe,2,48604.0,False,False,False,96.7,Low
119,Cherokee,2,28738.0,False,False,True,63.2,Low
185,Surry,2,70573.0,False,False,False,134.0,Low
146,Hoke,2,53783.0,False,True,False,133.5,Low
174,Polk,2,19461.0,False,False,True,81.3,Low
182,Scotland,2,33662.0,False,True,False,107.1,Low
160,Mitchell,2,14783.0,False,False,True,67.4,Low
110,Buncombe,2,271638.0,False,False,True,410.4,Low
128,Davidson,2,171752.0,False,False,False,305.4,Low
100,Alamance,2,175029.0,False,False,False,404.8,Low
192,Warren,2,18621.0,False,True,False,43.4,Low
131,Durham,2,331347.0,False,True,False,1133.7,Low
194,Watauga,2,54804.0,False,False,False,173.1,Low
121,Clay,2,11238.0,False,False,True,51.6,Low
168,Pamlico,2,12215.0,False,False,False,36.5,Low
198,Yadkin,2,36925.0,False,False,False,111.1,Low
148,Iredell,2,192986.0,False,False,False,325.0,Low
147,Hyde,2,4595.0,False,False,False,7.5,Low
172,Person,2,39048.0,False,True,False,99.7,Low
149,Jackson,2,41919.0,False,False,True,87.8,Low
116,Caswell,2,22400.0,False,True,False,53.5,Low
122,Cleveland,2,99332.0,False,False,True,214.4,Low
249,Jackson,3,41919.0,False,False,True,87.8,Low
251,Jones,3,9076.0,False,False,False,19.5,Low
229,Davie,3,43127.0,False,False,False,162.0,Low
297,Wilson,3,79078.0,False,False,False,214.3,Low
275,Randolph,3,143325.0,False,False,False,184.3,Low
298,Yadkin,3,36925.0,False,False,False,111.1,Low
267,Orange,3,148331.0,False,True,False,374.0,Low
207,Bertie,3,17302.0,False,False,False,25.7,Low
235,Gaston,3,233387.0,True,False,False,640.7,Low
270,Pender,3,62250.0,False,False,False,69.1,Low
205,Avery,3,17347.0,False,False,True,72.0,Low
211,Burke,3,88398.0,False,False,True,173.0,Low
203,Anson,3,22028.0,True,False,False,41.5,Low
259,Mecklenburg,3,1128426.0,True,False,False,2130.4,Low
296,Wilkes,3,65151.0,False,False,False,87.5,Low
247,Hyde,3,4595.0,False,False,False,7.5,Low
291,Wake,3,1154170.0,False,True,False,1353.3,Low
277,Robeson,3,115899.0,False,False,False,123.0,Low
289,Union,3,244960.0,True,False,False,376.6,Low
264,New Hanover,3,230423.0,False,False,False,1174.0,Low
278,Rockingham,3,90457.0,False,False,False,161.0,Low
217,Catawba,3,162841.0,False,False,False,400.2,Low
243,Haywood,3,62831.0,False,False,True,112.2,Low
241,Halifax,3,47859.0,False,False,False,67.2,Low
260,Mitchell,3,14783.0,False,False,True,67.4,Low
253,Lenoir,3,54323.0,False,False,False,138.1,Low
254,Lincoln,3,88742.0,True,False,False,293.4,Low
208,Bladen,3,29171.0,False,False,False,33.8,Low
237,Graham,3,7935.0,False,False,True,27.5,Low
244,Henderson,3,117429.0,False,False,True,311.8,Low
252,Lee,3,64360.0,False,True,False,248.1,Low
288,Tyrrell,3,3315.0,False,False,False,8.3,Low
220,Chowan,3,13646.0,False,False,False,79.4,Low
280,Rutherford,3,63870.0,False,False,True,114.0,Low
206,Beaufort,3,44150.0,False,False,False,53.6,Low
232,Edgecombe,3,48604.0,False,False,False,96.7,Low
263,Nash,3,96101.0,False,False,False,175.7,Low
223,Columbus,3,49795.0,False,False,False,54.0,Low
219,Cherokee,3,28738.0,False,False,True,63.2,Low
210,Buncombe,3,271638.0,False,False,True,410.4,Low
290,Vance,3,41665.0,False,True,False,168.7,Low
218,Chatham,3,77095.0,False,True,False,111.9,Low
286,Swain,3,14046.0,False,False,True,26.8,Low
240,Guilford,3,545484.0,False,False,False,838.0,Low
200,Alamance,3,175029.0,False,False,False,404.8,Low
285,Surry,3,70573.0,False,False,False,134.0,Low
248,Iredell,3,192986.0,False,False,False,325.0,Low
268,Pamlico,3,12215.0,False,False,False,36.5,Low
261,Montgomery,3,25485.0,False,True,False,52.4,Low
225,Cumberland,3,341793.0,False,True,False,512.9,Low
293,Washington,3,10708.0,False,False,False,31.8,Low
283,Stanly,3,62143.0,True,False,False,158.2,Low
279,Rowan,3,148565.0,False,False,False,287.1,Low
214,Camden,3,10537.0,False,False,False,43.1,Low
245,Hertford,3,20374.0,False,False,False,61.0,Low
292,Warren,3,18621.0,False,True,False,43.4,Low
256,Madison,3,21146.0,False,False,True,47.1,Low
242,Harnett,3,134986.0,False,True,False,224.5,Low
234,Franklin,3,70655.0,False,True,False,139.4,Low
216,Caswell,3,22400.0,False,True,False,53.5,Low
230,Duplin,3,48249.0,False,False,False,59.8,Low
276,Richmond,3,43006.0,False,True,False,90.7,Low
236,Gates,3,10324.0,False,False,False,30.8,Low
209,Brunswick,3,144821.0,False,False,False,160.8,Low
212,Cabarrus,3,232873.0,True,False,False,625.1,Low
202,Alleghany,3,11057.0,False,False,False,46.4,Low
274,Polk,3,19461.0,False,False,True,81.3,Low
246,Hoke,3,53783.0,False,True,False,133.5,Low
222,Cleveland,3,99332.0,False,False,True,214.4,Low
299,Yancey,3,18320.0,False,False,True,59.1,Low
215,Carteret,3,69039.0,False,False,False,133.3,Low
224,Craven,3,102568.0,False,False,False,142.5,Low
269,Pasquotank,3,40966.0,False,False,False,178.8,Low
238,Granville,3,60720.0,False,True,False,114.6,Low
284,Stokes,3,44422.0,False,False,False,99.1,Low
262,Moore,3,102966.0,False,True,False,142.9,Low
227,Dare,3,37817.0,False,False,False,96.3,Low
204,Ashe,3,26506.0,False,False,False,62.3,Low
239,Greene,3,19978.0,False,False,False,76.7,Low
295,Wayne,3,115895.0,False,False,False,211.8,Low
281,Sampson,3,58371.0,False,False,False,62.4,Low
221,Clay,3,11238.0,False,False,True,51.6,Low
231,Durham,3,331347.0,False,True,False,1133.7,Low
294,Watauga,3,54804.0,False,False,False,173.1,Low
265,Northampton,3,16953.0,False,True,False,32.6,Low
257,Martin,3,21503.0,False,False,False,48.3,Low
266,Onslow,3,207928.0,False,False,False,268.4,Low
255,Macon,3,37041.0,False,False,True,71.8,Low
272,Person,3,39048.0,False,True,False,99.7,Low
233,Forsyth,3,387703.0,False,False,False,938.1,Low
228,Davidson,3,171752.0,False,False,False,305.4,Low
201,Alexander,3,36172.0,False,False,False,140.2,Low
226,Currituck,3,29385.0,False,False,False,107.3,Low
273,Pitt,3,173536.0,False,False,False,261.0,Low
287,Transylvania,3,32825.0,False,False,True,87.2,Low
282,Scotland,3,33662.0,False,True,False,107.1,Low
250,Johnston,3,224833.0,False,False,False,272.7,Low
213,Caldwell,3,81319.0,False,False,False,170.9,Low
271,Perquimans,3,13049.0,False,False,False,52.6,Low
258,McDowell,3,44151.0,False,False,True,101.3,Low
353,Lenoir,4,54323.0,False,False,False,138.1,Low
378,Rockingham,4,90457.0,False,False,False,161.0,Low
320,Chowan,4,13646.0,False,False,False,79.4,Low
312,Cabarrus,4,232873.0,True,False,False,625.1,Low
380,Rutherford,4,63870.0,False,False,True,114.0,Low
382,Scotland,4,33662.0,False,True,False,107.1,Low
329,Davie,4,43127.0,False,False,False,162.0,Low
363,Nash,4,96101.0,False,False,False,175.7,Low
391,Wake,4,1154170.0,False,True,False,1353.3,Low
316,Caswell,4,22400.0,False,True,False,53.5,Low
301,Alexander,4,36172.0,False,False,False,140.2,Low
370,Pender,4,62250.0,False,False,False,69.1,Low
341,Halifax,4,47859.0,False,False,False,67.2,Low
339,Greene,4,19978.0,False,False,False,76.7,Low
355,Macon,4,37041.0,False,False,True,71.8,Low
357,Martin,4,21503.0,False,False,False,48.3,Low
366,Onslow,4,207928.0,False,False,False,268.4,Low
313,Caldwell,4,81319.0,False,False,False,170.9,Low
325,Cumberland,4,341793.0,False,True,False,512.9,Low
376,Richmond,4,43006.0,False,True,False,90.7,Low
379,Rowan,4,148565.0,False,False,False,287.1,Low
356,Madison,4,21146.0,False,False,True,47.1,Low
392,Warren,4,18621.0,False,True,False,43.4,Low
330,Duplin,4,48249.0,False,False,False,59.8,Low
336,Gates,4,10324.0,False,False,False,30.8,Low
338,Granville,4,60720.0,False,True,False,114.6,Low
374,Polk,4,19461.0,False,False,True,81.3,Low
369,Pasquotank,4,40966.0,False,False,False,178.8,Low
333,Forsyth,4,387703.0,False,False,False,938.1,Low
327,Dare,4,37817.0,False,False,False,96.3,Low
321,Clay,4,11238.0,False,False,True,51.6,Low
393,Washington,4,10708.0,False,False,False,31.8,Low
360,Mitchell,4,14783.0,False,False,True,67.4,Low
354,Lincoln,4,88742.0,True,False,False,293.4,Low
368,Pamlico,4,12215.0,False,False,False,36.5,Low
388,Tyrrell,4,3315.0,False,False,False,8.3,Low
337,Graham,4,7935.0,False,False,True,27.5,Low
310,Buncombe,4,271638.0,False,False,True,410.4,Low
319,Cherokee,4,28738.0,False,False,True,63.2,Low
377,Robeson,4,115899.0,False,False,False,123.0,Low
340,Guilford,4,545484.0,False,False,False,838.0,Low
385,Surry,4,70573.0,False,False,False,134.0,Low
359,Mecklenburg,4,1128426.0,True,False,False,2130.4,Low
332,Edgecombe,4,48604.0,False,False,False,96.7,Low
375,Randolph,4,143325.0,False,False,False,184.3,Low
307,Bertie,4,17302.0,False,False,False,25.7,Low
347,Hyde,4,4595.0,False,False,False,7.5,Low
361,Montgomery,4,25485.0,False,True,False,52.4,Low
389,Union,4,244960.0,True,False,False,376.6,Low
335,Gaston,4,233387.0,True,False,False,640.7,Low
345,Hertford,4,20374.0,False,False,False,61.0,Low
318,Chatham,4,77095.0,False,True,False,111.9,Low
302,Alleghany,4,11057.0,False,False,False,46.4,Low
308,Bladen,4,29171.0,False,False,False,33.8,Low
334,Franklin,4,70655.0,False,True,False,139.4,Low
349,Jackson,4,41919.0,False,False,True,87.8,Low
383,Stanly,4,62143.0,True,False,False,158.2,Low
386,Swain,4,14046.0,False,False,True,26.8,Low
394,Watauga,4,54804.0,False,False,False,173.1,Low
381,Sampson,4,58371.0,False,False,False,62.4,Low
399,Yancey,4,18320.0,False,False,True,59.1,Low
390,Vance,4,41665.0,False,True,False,168.7,Low
352,Lee,4,64360.0,False,True,False,248.1,Low
364,New Hanover,4,230423.0,False,False,False,1174.0,Low
343,Haywood,4,62831.0,False,False,True,112.2,Low
348,Iredell,4,192986.0,False,False,False,325.0,Low
371,Perquimans,4,13049.0,False,False,False,52.6,Low
323,Columbus,4,49795.0,False,False,False,54.0,Low
317,Catawba,4,162841.0,False,False,False,400.2,Low
395,Wayne,4,115895.0,False,False,False,211.8,Low
373,Pitt,4,173536.0,False,False,False,261.0,Low
